TimeStamp(ms),Label_Tag,HeaterProfile_ID,Sensor1_Temperature(deg C),Sensor1_Pressure(Pa),Sensor1_Humidity(%),Sensor1_GasResistance(ohm),Sensor1_Status,Sensor1_GasIndex,Sensor2_Temperature(deg C),Sensor2_Pressure(Pa),Sensor2_Humidity(%),Sensor2_GasResistance(ohm),Sensor2_Status,Sensor2_GasIndex,Sensor3_Temperature(deg C),Sensor3_Pressure(Pa),Sensor3_Humidity(%),Sensor3_GasResistance(ohm),Sensor3_Status,Sensor3_GasIndex,Sensor4_Temperature(deg C),Sensor4_Pressure(Pa),Sensor4_Humidity(%),Sensor4_GasResistance(ohm),Sensor4_Status,Sensor4_GasIndex,Sensor5_Temperature(deg C),Sensor5_Pressure(Pa),Sensor5_Humidity(%),Sensor5_GasResistance(ohm),Sensor5_Status,Sensor5_GasIndex,Sensor6_Temperature(deg C),Sensor6_Pressure(Pa),Sensor6_Humidity(%),Sensor6_GasResistance(ohm),Sensor6_Status,Sensor6_GasIndex,Sensor7_Temperature(deg C),Sensor7_Pressure(Pa),Sensor7_Humidity(%),Sensor7_GasResistance(ohm),Sensor7_Status,Sensor7_GasIndex,Sensor8_Temperature(deg C),Sensor8_Pressure(Pa),Sensor8_Humidity(%),Sensor8_GasResistance(ohm),Sensor8_Status,Sensor8_GasIndex
2954,1,1,38.99,99748.37,19.91,9495219.00,b0,1,39.01,99729.27,20.10,11715409.00,b0,1,39.94,99731.55,19.05,32694438.00,a0,0,40.09,99711.34,18.90,58357968.00,a0,0,39.90,99765.24,17.97,34665960.00,a0,0,39.90,99779.48,18.11,33470888.00,a0,0,39.61,99777.92,18.42,28985404.00,a0,0,39.59,99762.52,18.59,35540132.00,a0,0
3954,1,1,38.92,99745.25,19.60,9130120.00,b0,1,38.94,99728.31,19.77,10652796.00,b0,1,39.86,99735.76,18.80,19106706.00,a0,0,40.02,99708.80,18.64,35685272.00,a0,0,39.86,99762.50,17.72,24763272.00,a0,0,39.83,99778.41,17.89,22443836.00,a0,0,39.55,99778.38,18.19,20371774.00,a0,0,39.53,99764.95,18.32,25148120.00,a0,0
4954,1,1,38.91,99744.91,19.33,8885033.00,b0,1,38.94,99728.14,19.47,9819598.00,b0,1,39.82,99735.16,18.62,15072677.00,a0,0,39.99,99709.83,18.43,28054794.00,a0,0,39.83,99762.92,17.53,19395088.00,a0,0,39.80,99778.43,17.75,17062224.00,a0,0,39.53,99778.12,18.02,15544592.00,a0,0,39.50,99764.26,18.13,19173786.00,a0,0
5954,1,1,38.91,99745.36,19.10,8531112.00,b0,1,38.92,99729.52,19.24,9099695.00,b0,1,39.82,99732.77,18.47,11702857.00,a0,0,39.98,99710.71,18.24,21686300.00,a0,0,39.82,99763.22,17.38,15500473.00,a0,0,39.79,99777.31,17.62,13094106.00,a0,0,39.52,99776.95,17.88,12847677.00,b0,0,39.51,99763.06,17.97,16118052.00,b0,0
6954,1,1,38.90,99745.41,18.88,8342159.00,b0,1,38.91,99729.50,19.01,8625428.00,b0,1,39.81,99734.88,18.29,9637647.00,b0,0,39.94,99710.41,18.07,18093870.00,b0,0,39.79,99765.49,17.25,13101959.00,b0,0,39.79,99779.11,17.48,11291523.00,b0,0,39.51,99777.45,17.74,11210400.00,b0,0,39.50,99762.46,17.80,14321678.00,b0,0
7954,1,1,38.91,99746.38,18.70,8064976.50,b0,1,38.91,99729.80,18.82,8005863.50,b0,1,39.80,99733.77,18.13,8524454.00,b0,0,39.93,99708.69,17.94,16058809.00,b0,0,39.79,99765.14,17.14,11932993.00,b0,0,39.79,99778.41,17.40,10017732.00,b0,0,39.50,99776.87,17.62,10204921.00,b0,0,39.51,99763.10,17.67,13023847.00,b0,0
8954,1,2,39.06,99740.71,18.68,890434.81,a0,5,39.05,99722.15,18.96,709386.94,a0,5,39.82,99729.55,18.20,714584.81,a0,5,39.97,99705.25,18.22,1006635.56,a0,5,39.84,99758.48,17.36,926696.81,a0,5,39.85,99773.97,17.49,476944.56,a0,5,39.55,99772.13,17.69,336842.09,a0,5,39.54,99756.58,17.70,438074.88,a0,5
9954,1,2,38.88,99738.35,18.93,775610.69,b0,4,38.82,99718.73,19.75,642006.25,b0,4,39.66,99730.67,18.96,522982.63,b0,4,39.68,99705.45,20.16,820348.50,b0,4,39.67,99759.46,17.75,685179.00,b0,4,39.69,99772.40,17.85,546862.50,b0,4,39.39,99770.98,17.74,628992.63,b0,4,39.39,99756.08,17.74,782276.56,b0,4
10954,1,2,38.88,99738.80,19.22,756277.69,b0,4,38.82,99719.99,20.33,612623.37,b0,4,39.64,99731.80,19.71,500733.50,b0,4,39.71,99705.38,21.64,784073.50,b0,4,39.67,99762.35,18.18,655569.81,b0,4,39.68,99771.45,18.38,524993.56,b0,4,39.40,99770.13,17.84,599707.19,b0,4,39.40,99756.73,17.85,748264.50,b0,4
11954,1,2,38.86,99739.20,19.34,729085.06,b0,4,38.82,99721.03,20.34,588336.69,b0,4,39.63,99730.37,20.14,476279.06,b0,4,39.74,99705.85,21.78,736161.06,b0,4,39.67,99762.68,18.51,627258.81,b0,4,39.71,99774.71,18.78,504433.50,b0,4,39.42,99770.55,17.97,575442.56,b0,4,39.41,99757.29,18.03,720619.31,b0,4
12954,1,2,38.86,99737.58,19.54,704264.12,b0,4,38.81,99718.75,20.25,566841.94,b0,4,39.63,99730.37,20.48,460846.09,b0,4,39.73,99705.80,21.59,705720.19,b0,4,39.67,99762.27,18.88,602884.88,b0,4,39.71,99772.90,19.23,488899.50,b0,4,39.44,99772.70,18.41,559868.75,b0,4,39.42,99756.68,18.49,693532.00,b0,4
13954,1,2,38.89,99739.16,19.84,686557.19,b0,4,38.80,99719.81,20.29,549946.31,b0,4,39.65,99729.59,20.74,445217.41,b0,4,39.74,99704.72,21.43,679721.19,b0,4,39.72,99761.37,19.40,584308.12,b0,4,39.73,99772.09,19.68,476611.59,b0,4,39.46,99771.89,18.81,546862.50,b0,4,39.42,99756.26,18.84,673020.06,b0,4
14954,1,2,38.88,99737.10,20.15,669062.38,b0,4,38.77,99720.13,20.24,540797.44,b0,4,39.66,99728.12,21.22,432249.91,b0,4,39.74,99703.78,21.37,660645.19,b0,4,39.71,99763.86,19.74,567784.88,b0,4,39.74,99774.14,20.09,468435.50,b0,4,39.44,99769.55,18.95,533611.25,b0,4,39.40,99758.36,18.90,657463.87,b0,4
