95666,1,1,22.37,99931.26,42.66,6400000.00,101,15,22.45,99924.99,43.01,6400000.00,101,15,22.37,99931.09,44.04,6400000.00,1110,15,22.71,99913.37,44.31,6400000.00,1110,15,22.78,99988.09,43.85,6400000.00,10100,15,22.53,100008.16,44.20,6400000.00,10100,15,22.96,100009.09,46.66,6400000.00,11000,15,22.91,99996.45,43.99,6400000.00,11000,15
128666,1,1,25.49,99935.17,35.62,452296.81,1001011,6,25.47,99929.30,35.80,159006.22,1101100,0,26.10,99943.06,34.72,6400000.00,110111,0,26.40,99923.01,34.60,128675.55,1101010,7,27.04,100002.73,32.85,2101590.50,1000110,2,26.79,100020.05,33.53,1693611.75,1000110,2,26.81,100011.90,33.59,363830.16,1110010,3,26.88,99998.84,33.99,313341.50,1100010,2
161666,1,1,26.43,99935.82,33.93,485768.50,1001011,5,26.43,99934.84,34.13,86603.52,1101100,8,27.05,99945.91,33.07,84544.25,1101100,8,27.32,99923.63,32.99,1269683.87,1001101,5,27.96,99993.65,31.17,13490325.00,110100,0,27.80,100014.47,31.80,363830.16,1101011,1,27.90,100017.41,31.87,800000.00,1100100,1,27.92,99998.09,32.16,943996.31,1100010,1
194666,1,1,27.28,99935.48,32.50,505928.84,1001011,5,27.26,99937.90,32.72,92418.77,1101100,9,27.95,99950.63,31.62,90459.37,1101100,7,28.17,99918.98,31.53,1502567.87,1001101,5,28.82,99993.29,29.59,15689729.00,110100,0,28.66,100014.69,30.24,366565.25,1101011,1,28.70,100015.49,30.25,800000.00,1100100,1,28.70,99995.79,30.55,1121577.25,1010101,0
227666,1,1,28.02,99936.34,31.42,514314.41,1001011,5,28.00,99935.49,31.63,96078.06,1101100,8,28.68,99946.76,30.59,103101.09,1101100,8,28.94,99919.91,30.51,1576294.00,1001101,5,29.54,99997.47,28.63,201337.00,1101011,9,29.37,100017.46,29.22,15456604.00,110101,0,29.42,100014.55,29.30,742567.06,1010110,0,29.44,99993.97,29.55,1200468.87,1100010,1
260666,1,1,28.69,99937.22,30.40,519006.59,1001011,5,28.66,99931.60,30.54,98065.51,1101100,8,29.42,99948.91,29.56,105916.42,1101100,7,29.62,99921.91,29.43,1588212.50,1001101,4,30.21,99992.64,27.65,205581.20,1101011,9,30.06,100018.18,28.22,16371721.00,110101,0,30.08,100012.77,28.34,800000.00,1100100,1,30.10,99994.37,28.57,1270865.62,1010101,0
293666,1,1,29.25,99935.84,29.55,519796.97,1001011,4,29.26,99935.59,29.73,99843.99,1101100,8,30.05,99951.82,28.77,108405.67,1101100,7,30.25,99918.91,28.66,1670813.75,1001101,5,30.83,99998.02,26.92,210526.31,1101011,9,30.68,100013.15,27.47,17062224.00,110101,0,30.69,100016.00,27.62,800000.00,1100100,1,30.69,99992.87,27.81,1314927.75,1100010,1
326666,1,1,29.73,99935.54,28.91,524590.19,1001011,4,29.75,99938.91,29.09,100490.68,1101100,7,30.58,99953.68,28.20,113450.03,1101100,7,30.78,99924.83,28.08,1686290.62,1001101,4,31.37,99996.63,26.41,214360.48,1101011,9,31.22,100019.01,26.91,205829.14,1101011,9,31.19,100016.85,27.07,823813.37,1010110,0,31.23,100001.30,27.26,1332899.50,1010101,0
359666,1,1,30.22,99935.15,28.11,525397.62,1001011,5,30.19,99936.42,28.21,102053.02,1101100,8,31.02,99947.43,27.32,363830.16,1101100,6,31.25,99923.65,27.17,1707378.12,1001101,4,31.99,100004.36,25.61,212757.11,1101011,8,31.79,100018.52,26.13,17871830.00,110101,0,31.82,100014.23,26.39,837456.56,1010110,0,31.82,99997.26,26.58,1322570.25,1100010,1
392666,1,1,30.63,99938.77,27.62,526613.50,1001011,4,30.63,99935.51,27.76,102790.60,1101100,7,31.50,99954.55,26.81,114592.66,1101100,7,31.69,99926.73,26.68,1684210.50,1001101,4,32.35,100002.50,24.95,217779.67,1101011,9,32.19,100022.40,25.46,206326.81,1101011,9,32.17,100017.21,25.59,847857.56,1010110,0,32.19,100000.66,25.79,1358090.12,1010101,0
425666,1,1,31.01,99938.71,27.09,528652.56,1001011,4,31.01,99934.43,27.27,103664.71,1101100,7,31.89,99948.37,26.33,363830.16,1101100,6,32.11,99922.39,26.21,1752299.50,1001101,3,32.82,100004.23,24.59,215306.98,1101011,8,32.62,100019.49,25.10,208214.72,1101011,9,32.60,100017.54,25.27,864499.81,1010110,0,32.59,99997.59,25.48,1367612.75,1010101,0
458666,1,1,31.33,99935.25,26.77,530295.19,1001011,4,31.33,99934.26,26.96,103980.50,1101100,7,32.23,99947.98,25.99,363830.16,1101100,6,32.44,99926.57,25.89,1753424.62,1001101,4,33.14,99998.90,24.15,223336.97,1101011,9,32.97,100017.60,24.62,209492.64,1101011,9,32.93,100019.30,24.76,865047.50,1010110,0,32.93,99998.57,24.95,1377269.62,1010101,0
