TimeStamp(ms),Label_Tag,HeaterProfile_ID,Sensor1_Temperature(deg C),Sensor1_Pressure(Pa),Sensor1_Humidity(%),Sensor1_GasResistance(ohm),Sensor1_Status,Sensor1_GasIndex,Sensor2_Temperature(deg C),Sensor2_Pressure(Pa),Sensor2_Humidity(%),Sensor2_GasResistance(ohm),Sensor2_Status,Sensor2_GasIndex,Sensor3_Temperature(deg C),Sensor3_Pressure(Pa),Sensor3_Humidity(%),Sensor3_GasResistance(ohm),Sensor3_Status,Sensor3_GasIndex,Sensor4_Temperature(deg C),Sensor4_Pressure(Pa),Sensor4_Humidity(%),Sensor4_GasResistance(ohm),Sensor4_Status,Sensor4_GasIndex,Sensor5_Temperature(deg C),Sensor5_Pressure(Pa),Sensor5_Humidity(%),Sensor5_GasResistance(ohm),Sensor5_Status,Sensor5_GasIndex,Sensor6_Temperature(deg C),Sensor6_Pressure(Pa),Sensor6_Humidity(%),Sensor6_GasResistance(ohm),Sensor6_Status,Sensor6_GasIndex,Sensor7_Temperature(deg C),Sensor7_Pressure(Pa),Sensor7_Humidity(%),Sensor7_GasResistance(ohm),Sensor7_Status,Sensor7_GasIndex,Sensor8_Temperature(deg C),Sensor8_Pressure(Pa),Sensor8_Humidity(%),Sensor8_GasResistance(ohm),Sensor8_Status,Sensor8_GasIndex
7037,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8037,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9037,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10037,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11037,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12037,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13037,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14037,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15037,1,2,38.50,99729.68,20.10,1002202.12,a0,3,38.67,99709.71,21.82,102400000.00,a0,4,39.51,99716.34,21.58,595002.88,a0,3,39.52,99693.55,24.03,974310.19,a0,3,40.61,99749.70,17.16,30588564.00,b0,1,40.42,99765.12,17.37,22938746.00,b0,1,40.30,99757.83,16.34,891597.75,a0,3,40.18,99745.78,16.52,2127792.25,b0,2
16037,1,2,37.99,99726.85,20.27,21686300.00,b0,1,38.10,99703.62,21.68,1330302.00,b0,2,38.95,99721.48,22.06,12962025.00,b0,1,39.07,99696.77,23.74,27318050.00,b0,0,39.98,99746.00,17.96,66890532.00,a0,5,39.84,99763.18,17.89,40144564.00,a0,5,39.74,99755.45,16.81,17626682.00,b0,0,39.61,99742.71,16.88,23084184.00,b0,0
17037,1,2,37.96,99726.77,20.63,5254650.50,a0,5,38.02,99707.40,21.59,3627989.25,a0,5,38.86,99719.04,22.95,2793997.25,a0,5,39.02,99694.86,23.71,62668896.00,a0,4,39.79,99742.80,18.33,1507545.12,b0,3,39.63,99754.16,18.12,1019412.62,b0,3,39.60,99752.78,17.05,34943216.00,a0,4,39.49,99742.97,17.00,50793256.00,a0,4
18037,1,2,37.93,99720.55,21.10,1532074.00,b0,3,37.94,99702.45,21.50,1002202.12,b0,3,38.81,99716.40,23.95,729864.56,b0,3,38.92,99690.52,24.00,1389888.00,b0,2,39.68,99743.82,18.51,21120206.00,b0,0,39.56,99756.69,18.15,13141368.00,b0,1,39.51,99749.93,17.15,1055670.12,b0,2,39.40,99742.11,17.02,1405628.00,b0,2
19037,1,2,37.89,99722.09,21.31,16995850.00,b0,0,37.88,99704.29,21.33,12735328.00,b0,1,38.74,99714.81,24.57,8412837.00,b0,1,38.89,99692.06,24.30,17346744.00,b0,0,39.69,99745.27,18.85,10519422.00,a0,4,39.57,99755.65,18.31,5838916.50,a0,4,39.47,99752.34,17.27,11690332.00,b0,0,39.37,99743.74,17.09,154963.69,b0,5
20037,1,2,37.88,99721.93,21.24,3482253.00,a0,4,37.85,99707.29,21.01,118986.75,b0,5,38.71,99714.35,24.75,1614505.37,a0,4,38.89,99691.67,24.29,2740716.00,a0,4,39.58,99742.78,18.93,1294973.12,b0,2,39.46,99753.43,18.41,831337.50,b0,2,39.43,99755.87,17.26,1738908.87,a0,4,39.29,99743.26,17.10,2175252.25,a0,4
21037,1,2,37.83,99717.50,21.07,1360797.37,b0,2,37.82,99702.73,20.74,844710.25,b0,3,38.64,99711.77,24.45,656199.94,b0,3,38.81,99686.63,23.91,1096359.75,b0,2,39.54,99745.87,18.69,132368.16,b0,5,39.41,99754.26,18.27,10611399.00,b0,0,39.36,99752.73,17.18,888696.00,b0,2,39.21,99737.59,17.04,1141265.00,b0,2
22037,1,2,37.76,99723.73,20.83,14938682.00,b0,0,37.74,99702.48,20.53,11119104.00,b0,0,38.52,99712.07,23.78,7433757.00,b0,0,38.74,99691.41,23.23,123552.13,b0,5,39.48,99744.30,18.32,1181765.75,b0,3,39.37,99758.59,18.02,1030181.06,b0,4,39.27,99751.77,17.09,10252816.00,b0,0,39.15,99741.79,16.99,133402.81,b0,5
23037,1,2,37.74,99723.50,20.60,1606904.62,b0,4,37.73,99707.74,20.33,1050795.25,b0,4,38.49,99713.29,23.03,729085.06,b0,4,38.68,99688.17,22.49,1008867.00,b0,3,39.37,99744.93,18.09,15348009.00,b0,1,39.26,99754.04,17.94,768624.50,b0,2,39.21,99755.50,17.12,1073094.00,b0,4,39.05,99743.88,17.09,1021701.19,b0,3
