TimeStamp(ms),Label_Tag,HeaterProfile_ID,Sensor1_Temperature(deg C),Sensor1_Pressure(Pa),Sensor1_Humidity(%),Sensor1_GasResistance(ohm),Sensor1_Status,Sensor1_GasIndex,Sensor2_Temperature(deg C),Sensor2_Pressure(Pa),Sensor2_Humidity(%),Sensor2_GasResistance(ohm),Sensor2_Status,Sensor2_GasIndex,Sensor3_Temperature(deg C),Sensor3_Pressure(Pa),Sensor3_Humidity(%),Sensor3_GasResistance(ohm),Sensor3_Status,Sensor3_GasIndex,Sensor4_Temperature(deg C),Sensor4_Pressure(Pa),Sensor4_Humidity(%),Sensor4_GasResistance(ohm),Sensor4_Status,Sensor4_GasIndex,Sensor5_Temperature(deg C),Sensor5_Pressure(Pa),Sensor5_Humidity(%),Sensor5_GasResistance(ohm),Sensor5_Status,Sensor5_GasIndex,Sensor6_Temperature(deg C),Sensor6_Pressure(Pa),Sensor6_Humidity(%),Sensor6_GasResistance(ohm),Sensor6_Status,Sensor6_GasIndex,Sensor7_Temperature(deg C),Sensor7_Pressure(Pa),Sensor7_Humidity(%),Sensor7_GasResistance(ohm),Sensor7_Status,Sensor7_GasIndex,Sensor8_Temperature(deg C),Sensor8_Pressure(Pa),Sensor8_Humidity(%),Sensor8_GasResistance(ohm),Sensor8_Status,Sensor8_GasIndex
4017,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5017,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6017,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7017,1,1,43.12,99727.72,14.67,43851456.00,a0,1,43.06,99706.58,14.70,48590176.00,a0,1,43.87,99712.59,14.42,40896100.00,a0,1,43.99,99694.50,14.07,67983400.00,a0,1,43.73,99741.77,13.17,60083428.00,a0,1,43.73,99749.98,13.48,40972804.00,a0,1,42.90,99750.20,13.66,31744248.00,a0,1,42.83,99739.77,13.70,40857856.00,a0,1
8017,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9017,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10017,1,1,41.81,99719.37,14.58,400782.78,b0,0,41.76,99701.84,14.63,433347.44,b0,0,42.53,99703.79,14.32,309646.22,b0,0,42.62,99686.63,13.99,471346.38,b0,0,,,,,,,42.38,99748.46,13.42,399843.81,b0,0,41.54,99747.04,13.61,363378.28,b0,0,41.51,99730.47,13.65,462720.28,b0,0
11017,1,1,42.88,99725.48,14.65,477278.03,b0,2,42.79,99704.07,14.69,467473.19,b0,2,43.59,99716.80,14.42,316831.69,b0,2,43.66,99690.78,14.08,536125.62,b0,2,43.60,99741.63,13.25,667753.50,b0,1,43.32,99752.97,13.52,397284.19,b0,2,42.50,99750.72,13.78,393619.06,b0,2,42.46,99739.28,13.76,485078.16,b0,2
12017,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13017,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14017,1,1,43.31,99725.72,14.50,574474.06,b0,1,43.24,99706.07,14.55,577878.13,b0,1,43.44,99712.13,14.40,314496.31,b0,0,43.51,99690.27,14.05,478952.28,b0,0,43.11,99738.98,13.20,403626.34,b0,0,43.17,99751.92,13.49,404823.09,b0,0,42.32,99747.69,13.70,366893.59,b0,0,42.30,99736.97,13.73,473635.53,b0,0
15017,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16017,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17017,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18017,1,1,43.42,99724.11,14.40,570155.87,b0,1,43.33,99706.65,14.43,573508.81,b0,1,44.09,99712.97,14.19,395443.12,b0,1,44.16,99693.70,13.87,651814.12,b0,1,43.56,99741.84,13.14,553513.50,b0,1,43.62,99752.54,13.42,528652.56,b0,1,42.71,99750.49,13.70,481995.75,b0,1,42.64,99737.15,13.74,628992.63,b0,1
19017,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20017,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21017,1,1,43.01,99721.38,14.35,403626.34,b0,0,42.92,99701.14,14.42,434174.25,b0,0,43.69,99710.45,14.19,311057.09,b0,0,43.73,99690.76,13.86,476279.06,b0,0,43.11,99737.48,13.15,400312.75,b0,0,43.17,99749.55,13.43,403149.59,b0,0,42.24,99746.63,13.71,364153.62,b0,0,42.19,99733.73,13.73,469079.25,b0,0
22017,1,1,,,,,,,,,,,,,,,,,,,,,,,,,43.30,99738.71,13.21,440335.41,b0,2,43.34,99750.50,13.49,411410.22,b0,2,,,,,,,,,,,,
23017,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24017,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25017,1,1,43.67,99723.55,14.38,562637.37,b0,1,43.59,99706.23,14.43,570155.87,b0,1,44.31,99713.76,14.23,391587.00,b0,1,44.35,99688.57,13.92,646873.00,b0,1,43.12,99737.77,13.20,399142.47,b0,0,43.63,99751.84,13.53,529883.56,b0,1,42.70,99748.41,13.85,488899.50,b0,1,42.60,99737.13,13.85,637807.56,b0,1
26017,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
