11404,1,0,30.29,102104.32,22.06,400000.00,160,8,30.22,102087.91,21.84,400000.00,160,8,31.15,102120.26,22.47,29057.89,176,7,31.33,102097.80,21.88,693532.00,160,6,31.76,102165.31,20.53,6308818.00,176,0,31.62,102190.25,21.17,3347772.75,176,0,31.63,102181.47,21.68,849968.87,176,7,31.59,102154.64,20.81,1473911.50,176,7
12404,1,0,30.32,102105.95,22.05,400000.00,160,7,30.22,102084.18,21.78,400000.00,160,8,31.14,102116.82,22.43,144347.33,176,5,31.35,102099.81,21.78,316537.88,176,4,31.77,102164.55,20.42,363830.16,160,7,31.62,102189.89,21.13,639600.25,160,7,31.64,102191.84,21.62,59245.55,176,4,31.59,102157.45,20.77,363830.16,160,3
13404,1,0,30.32,102105.60,22.01,400000.00,160,7,30.21,102084.51,21.71,400000.00,160,8,31.16,102115.56,22.38,138266.27,176,3,31.36,102098.30,21.69,732999.31,160,2,31.90,102169.72,20.35,800000.00,160,4,31.74,102195.84,21.09,643822.69,160,4,31.68,102185.02,21.57,317716.41,176,0,31.65,102158.42,20.72,1465998.62,176,9
14404,1,0,30.31,102105.13,22.03,400000.00,160,7,30.20,102083.59,21.73,400000.00,160,8,31.17,102115.34,22.38,802036.44,176,1,31.37,102100.46,21.69,5454061.50,160,0,31.80,102161.93,20.29,6386279.50,176,0,31.63,102187.58,21.08,3374665.25,176,0,31.63,102182.41,21.50,327156.56,176,6,31.57,102154.59,20.67,221309.70,176,5
15404,1,0,30.30,102103.55,22.27,707915.69,160,6,30.22,102085.41,22.07,363378.28,160,7,31.13,102111.03,22.63,26495.55,176,9,31.33,102099.26,22.08,53489.34,176,8,31.80,102162.85,20.45,363830.16,160,7,31.63,102188.30,21.28,642006.25,160,7,31.70,102187.69,21.48,129260.29,176,2,31.65,102156.02,20.77,214495.19,176,2
16404,1,0,30.36,102107.53,22.78,639001.56,160,6,30.26,102086.70,22.73,343278.59,160,7,31.20,102121.47,23.10,26332.03,176,7,31.39,102100.13,22.78,329048.84,176,5,31.91,102162.05,21.03,363830.16,160,3,31.74,102187.95,21.81,628992.63,160,3,31.75,102183.80,21.90,2411539.50,176,8,31.70,102155.19,21.34,4646625.00,176,8
17404,1,0,30.35,102109.42,23.44,573508.81,160,6,30.25,102086.90,23.50,331928.69,160,7,31.17,102117.16,23.76,137486.58,176,5,31.40,102103.03,23.57,334203.66,176,3,31.81,102163.58,21.72,99785.62,176,9,31.65,102192.08,22.47,67814.57,176,9,31.74,102192.30,22.55,58314.35,176,4,31.69,102162.01,22.06,90844.57,176,4
18404,1,0,30.37,102106.23,24.07,512000.00,160,5,30.29,102086.55,24.11,395214.19,160,6,31.20,102111.36,24.43,298803.63,160,2,31.42,102101.18,24.21,2375870.00,176,1,31.86,102165.80,22.32,341903.19,176,6,31.70,102191.62,23.07,225849.14,176,6,31.82,102186.11,23.21,550833.81,160,1,31.76,102157.74,22.85,491362.75,176,0
19404,1,0,30.40,102108.52,24.88,458063.06,160,5,30.33,102089.12,24.88,366893.59,160,6,31.24,102113.39,25.34,1600000.00,160,0,31.42,102100.31,25.02,55220.02,176,9,32.02,102170.77,23.08,1246500.25,176,2,31.86,102198.99,23.95,732999.31,176,2,31.88,102187.06,24.09,808687.06,176,7,31.78,102157.66,24.09,477946.31,176,6
20404,1,0,30.37,102104.99,25.68,415163.19,160,4,30.35,102087.91,25.73,333550.50,160,6,31.23,102118.69,26.55,26479.11,176,8,31.46,102102.77,26.03,54584.22,176,7,31.95,102165.94,24.58,95593.73,176,9,31.80,102193.53,25.74,62362.97,176,9,31.88,102187.38,25.43,525397.62,160,3,31.83,102159.79,26.26,669062.38,160,3
21404,1,0,30.43,102105.56,26.63,375641.97,160,4,30.40,102089.75,26.61,305489.25,160,6,31.29,102112.27,27.99,30754.45,160,6,31.49,102102.01,27.31,332899.87,176,4,32.05,102167.77,26.03,317420.97,176,5,31.84,102194.39,27.69,192048.02,176,6,31.98,102187.51,26.50,777820.00,176,9,31.92,102160.09,28.14,1234106.62,176,9
22404,1,0,30.47,102103.55,27.78,350325.00,160,4,30.43,102086.61,27.66,293915.03,160,5,31.27,102113.12,29.35,133402.81,176,4,31.47,102094.34,28.64,774291.13,160,2,32.13,102172.38,27.40,1186902.37,176,2,31.96,102198.91,29.36,671695.62,176,2,31.96,102189.62,27.40,123106.52,176,5,31.88,102159.12,29.54,194123.22,176,5
23404,1,0,30.52,102109.23,28.72,1266151.50,176,3,30.48,102087.96,28.62,275862.06,160,5,31.32,102112.34,30.20,183644.19,160,2,31.53,102097.04,29.38,5531397.50,160,0,32.09,102169.80,28.28,90844.57,176,8,31.91,102200.27,30.29,60292.04,176,8,32.10,102191.61,28.41,117836.59,176,2,32.01,102160.32,30.73,645649.44,160,1
24404,1,0,30.56,102110.57,29.76,1238584.87,176,3,30.52,102087.61,29.60,256963.61,160,5,31.38,102112.77,31.16,1600000.00,160,0,31.55,102099.90,30.20,53691.27,176,8,32.16,102167.69,29.22,307138.56,176,5,31.99,102199.78,31.07,192372.72,176,5,32.15,102189.68,29.33,755859.00,176,7,32.04,102159.13,31.73,1213270.12,176,7
