Unknown command. Available commands: START, STOP, SEC_num (e.g., SEC_5000), GETHEAT
TimeStamp(ms),Label_Tag,HeaterProfile_ID,Sensor1_Temperature(deg C),Sensor1_Pressure(Pa),Sensor1_Humidity(%),Sensor1_GasResistance(ohm),Sensor1_Status,Sensor1_GasIndex,Sensor2_Temperature(deg C),Sensor2_Pressure(Pa),Sensor2_Humidity(%),Sensor2_GasResistance(ohm),Sensor2_Status,Sensor2_GasIndex,Sensor3_Temperature(deg C),Sensor3_Pressure(Pa),Sensor3_Humidity(%),Sensor3_GasResistance(ohm),Sensor3_Status,Sensor3_GasIndex,Sensor4_Temperature(deg C),Sensor4_Pressure(Pa),Sensor4_Humidity(%),Sensor4_GasResistance(ohm),Sensor4_Status,Sensor4_GasIndex,Sensor5_Temperature(deg C),Sensor5_Pressure(Pa),Sensor5_Humidity(%),Sensor5_GasResistance(ohm),Sensor5_Status,Sensor5_GasIndex,Sensor6_Temperature(deg C),Sensor6_Pressure(Pa),Sensor6_Humidity(%),Sensor6_GasResistance(ohm),Sensor6_Status,Sensor6_GasIndex,Sensor7_Temperature(deg C),Sensor7_Pressure(Pa),Sensor7_Humidity(%),Sensor7_GasResistance(ohm),Sensor7_Status,Sensor7_GasIndex,Sensor8_Temperature(deg C),Sensor8_Pressure(Pa),Sensor8_Humidity(%),Sensor8_GasResistance(ohm),Sensor8_Status,Sensor8_GasIndex
11959,1,1,5,39.25,99822.81,14.37,54636100.00,b0,1,83,96,32,16
11960,1,1,6,39.18,99824.58,14.30,43763608.00,b0,1,83,94,32,16
11961,1,1,7,39.00,99802.81,14.43,56802600.00,b0,1,83,95,32,16
12094,1,1,0,37.60,99776.55,15.86,45542740.00,90,2,84,102,0,16
12095,1,1,1,37.71,99757.84,15.84,50267304.00,90,2,84,100,0,16
12096,1,1,2,38.63,99768.04,15.42,36551032.00,80,2,84,103,0,0
12097,1,1,3,38.85,99744.77,15.09,75633008.00,90,2,84,100,0,16
12098,1,1,4,39.21,99806.56,13.95,59389216.00,90,2,84,102,0,16
12099,1,1,5,39.00,99825.05,14.36,54636100.00,90,2,84,97,0,16
12100,1,1,6,38.94,99819.48,14.27,43763608.00,90,2,84,95,0,16
12101,1,1,7,38.76,99807.19,14.40,56802600.00,90,2,84,96,0,16
12234,1,1,0,37.43,99777.06,15.86,45542740.00,90,2,85,102,0,16
12235,1,1,1,37.54,99759.38,15.80,50267304.00,90,2,85,100,0,16
12236,1,1,2,38.45,99766.29,15.40,36551032.00,80,2,85,103,0,0
12237,1,1,3,38.67,99748.46,15.10,75633008.00,90,2,85,100,0,16
12238,1,1,4,39.03,99804.91,13.93,59389216.00,90,2,85,102,0,16
12239,1,1,5,38.80,99821.95,14.33,54636100.00,90,2,85,97,0,16
12240,1,1,6,38.75,99820.34,14.25,43763608.00,90,2,85,95,0,16
12241,1,1,7,38.57,99805.36,14.38,56802600.00,90,2,85,96,0,16
12374,1,1,0,37.28,99774.73,15.83,45542740.00,90,2,86,102,0,16
12375,1,1,1,37.40,99758.44,15.80,50267304.00,90,2,86,100,0,16
12376,1,1,2,38.31,99766.01,15.40,36551032.00,80,2,86,103,0,0
12377,1,1,3,38.52,99745.34,15.07,75633008.00,90,2,86,100,0,16
12378,1,1,4,38.89,99805.20,13.93,59389216.00,90,2,86,102,0,16
12379,1,1,5,38.65,99821.68,14.31,54636100.00,90,2,86,97,0,16
12380,1,1,6,38.61,99819.24,14.24,43763608.00,90,2,86,95,0,16
12381,1,1,7,38.43,99803.92,14.38,56802600.00,90,2,86,96,0,16
12514,1,1,0,37.17,99771.94,15.80,45542740.00,90,2,87,102,0,16
12515,1,1,1,37.29,99756.98,15.79,50267304.00,90,2,87,100,0,16
12516,1,1,2,38.20,99763.88,15.38,36551032.00,80,2,87,103,0,0
12517,1,1,3,38.41,99745.23,15.07,75633008.00,90,2,87,100,0,16
12518,1,1,4,38.78,99803.57,13.93,59389216.00,90,2,87,102,0,16
12519,1,1,5,38.54,99825.42,14.29,54636100.00,90,2,87,97,0,16
12520,1,1,6,38.49,99816.79,14.23,43763608.00,90,2,87,95,0,16
12521,1,1,7,38.33,99801.03,14.36,56802600.00,90,2,87,96,0,16
12654,1,1,0,37.08,99772.16,15.80,45542740.00,90,2,88,102,0,16
12655,1,1,1,37.20,99756.03,15.79,50267304.00,90,2,88,100,0,16
12656,1,1,2,38.11,99764.87,15.37,36551032.00,80,2,88,103,0,0
12657,1,1,3,38.32,99743.89,15.06,75633008.00,90,2,88,100,0,16
12658,1,1,4,38.69,99804.38,13.91,59389216.00,90,2,88,102,0,16
12659,1,1,5,38.46,99824.78,14.31,54636100.00,90,2,88,97,0,16
12660,1,1,6,38.40,99815.55,14.23,43763608.00,90,2,88,95,0,16
12661,1,1,7,38.24,99802.38,14.37,56802600.00,90,2,88,96,0,16
12794,1,1,0,37.01,99773.14,15.80,45542740.00,90,2,89,102,0,16
12795,1,1,1,37.13,99755.20,15.78,50267304.00,90,2,89,100,0,16
12796,1,1,2,38.04,99764.28,15.39,36551032.00,80,2,89,103,0,0
12797,1,1,3,38.25,99745.27,15.04,75633008.00,90,2,89,100,0,16
12798,1,1,4,38.62,99803.95,13.91,59389216.00,90,2,89,102,0,16
12799,1,1,5,38.38,99823.78,14.29,54636100.00,90,2,89,97,0,16
12800,1,1,6,38.34,99814.83,14.24,43763608.00,90,2,89,95,0,16
12801,1,1,7,38.17,99802.41,14.36,56802600.00,90,2,89,96,0,16
12934,1,1,0,36.95,99772.63,15.81,45542740.00,90,2,90,102,0,16
12935,1,1,1,37.08,99756.34,15.78,50267304.00,90,2,90,100,0,16
12936,1,1,2,37.97,99763.07,15.36,36551032.00,80,2,90,103,0,0
12937,1,1,3,38.20,99744.44,15.04,75633008.00,90,2,90,100,0,16
12938,1,1,4,38.57,99803.36,13.91,59389216.00,90,2,90,102,0,16
12939,1,1,5,38.33,99823.84,14.29,54636100.00,90,2,90,97,0,16
12940,1,1,6,38.28,99815.64,14.23,43763608.00,90,2,90,95,0,16
12941,1,1,7,38.12,99802.33,14.34,56802600.00,90,2,90,96,0,16
13074,1,1,0,36.90,99773.72,15.80,45542740.00,90,2,91,102,0,16
13075,1,1,1,37.03,99756.02,15.77,50267304.00,90,2,91,100,0,16
13076,1,1,2,37.91,99761.77,15.37,36551032.00,80,2,91,103,0,0
13077,1,1,3,38.15,99744.95,15.04,75633008.00,90,2,91,100,0,16
13078,1,1,4,38.53,99803.71,13.93,59389216.00,90,2,91,102,0,16
13079,1,1,5,38.28,99822.47,14.30,54636100.00,90,2,91,97,0,16
13080,1,1,6,38.22,99815.34,14.24,43763608.00,90,2,91,95,0,16
